NO.,post date,original serial,photo date,location,City,State / Province,Country,Camera,Lens,Title,备注
2019010100,20190101,0F3A5940.CR2,20181231,Salineras De Cabo Rojo,Cabo Rojo,Puerto Rico,United States - PR,Canon EOS 5D mark III,Canon EF 24-70mm f/4L IS USM,Pink Lake,波多黎各粉红湖
2019010200,20190102,0F3A5206.CR2,20181221,Amador Causeway,Panama City,Panama,Panama,Canon EOS 5D mark III,Canon EF 24-70mm f/4L IS USM,Amador Causeway,巴拿马长堤
2019010300,20190103,0F3A3294.CR2,20181217,Natural Bridge (near by),Santa Cruz,Aruba,Netherlands - Aruba,Canon EOS 5D mark III,Canon EF 24-70mm f/4L IS USM,Aruba Shore,阿鲁巴
2019010400,20190104,0F3A6382.CR2,20190103,Old San Juan,San Juan,Puerto Rico,United States - PR,Canon EOS 5D mark III,Canon EF 24-70mm f/4L IS USM,Old San Juan,圣胡安老城
2019010500,20190105,0F3A5227.CR2,20181221,Amador Causeway,Panama City,Panama,Panama,Canon EOS 5D mark III,Canon EF 24-70mm f/4L IS USM,Panama City,巴拿马长堤
2019010600,20190106,0F3A5396.CR2,20181227,Monteverde,Monteverde,Puntarenas,Costa Rica,Canon EOS 5D mark III,Canon EF 24-70mm f/4L IS USM,Country of Green,
2019010700,20190107,0F3A4589.CR2,20181220,Panama Canal Railway,Colon,Colon,Panama,Canon EOS 5D mark III,Canon EF 24-70mm f/4L IS USM,Train of Time,巴拿马运河专列
2019010800,20190108,0F3A5947.CR2,20190101,Sea Glass Beach,Vieques,Puerto Rico,United States - PR,Canon EOS 5D mark III,Canon EF 24-70mm f/4L IS USM,Vieques Island,别克斯岛
2019010900,20190109,0F3A5536.CR2,20181230,Cueva Ventana,Arecibo,Puerto Rico,United States - PR,Canon EOS 5D mark III,Canon EF 24-70mm f/4L IS USM,Window Cave,
2019011000,20190110,0F3A6195.CR2,20190103,Castillo de San Cristobal,San Juan,Puerto Rico,United States - PR,Canon EOS 5D mark III,Canon EF 24-70mm f/4L IS USM,Puerto Rico,圣胡安城堡
2019011100,20190111,0F3A4457.CR2,20181219,Panama Viejo,Panama City,Panama,Panama,Canon EOS 5D mark III,Canon EF 24-70mm f/4L IS USM,Panama Viejo,巴拿马古迹
2019011200,20190112,0F3A5706.CR2,20181230,Cueva del Indio,Arecibo,Puerto Rico,United States - PR,Canon EOS 5D mark III,Canon EF 24-70mm f/4L IS USM,Cueva del Indio,
2019011300,20190113,0F3A5345.CR2,20181221,Central Hotel Panama,Panama City,Panama,Panama,Canon EOS 5D mark III,Canon EF 24-70mm f/4L IS USM,Central Hotel Panama,
2019011400,20190114,0F3A3829.CR2,20181218,Renaissance Island Beach,Oranjestad,Aruba,Netherlands - Aruba,Canon EOS 5D mark III,Canon EF 24-70mm f/4L IS USM,Life of Red,
2019011500,20190115,0F3A4928.CR2,20181220,Casco Viejo (San Felipe),Panama City,Panama,Panama,Canon EOS 5D mark III,Canon EF 24-70mm f/4L IS USM,Old Town Panama,
2019011600,20190222,0F3A9483.CR2,20180526,Big Four Ice Caves,Granite Falls,Washington,United States,Canon EOS 5D mark III,Canon EF 24-70mm f/4L IS USM,"WA, US",
2019011700,20190222,0F3A9508.CR2,20180531,University of Washington,Seattle,Washington,United States,Canon EOS 5D mark III,Canon EF 24-70mm f/4L IS USM,Blood Moon,
2019011800,20190222,0F3A3945.CR2,20180210,University of Washington,Seattle,Washington,United States,Canon EOS 5D mark III,Sigma 70-300mm f/4-5.6 DG Macro,Nestle of Moon,
2019011900,20190222,0F3A8880.CR2,20180508,University of Washington,Seattle,Washington,United States,Canon EOS 5D mark III,Canon FL 135mm f/3.5,,
2019012000,20190120,0F3A6514.CR2,20190120,University of Washington,Seattle,Washington,United States,Canon EOS 5D mark III,Sigma 70-300mm f/4-5.6 DG Macro,,
2019012100,20190206,0F3A6478.CR2,20190120,University of Washington,Seattle,Washington,United States,Canon EOS 5D mark III,Sigma 70-300mm f/4-5.6 DG Macro,,
2019012200,20190221,0F3A8012.CR2,20171004,University of Washington,Seattle,Washington,United States,Canon EOS 5D mark III,Sigma 70-300mm f/4-5.6 DG Macro,,
2019012300,20190223,0F3A9134.CR2,20180512,Discovery Park,Seattle,Washington,United States,Canon EOS 5D mark III,Canon EF 24-70mm f/4L IS USM,,
2019012400,20190223,0F3A9195.CR2,20180512,Discovery Park,Seattle,Washington,United States,Canon EOS 5D mark III,Canon EF 24-70mm f/4L IS USM,,
2019012500,20190223,0F3A9242.CR2,20180512,Discovery Park,Seattle,Washington,United States,Canon EOS 5D mark III,Canon EF 24-70mm f/4L IS USM,,
2019012600,20190223,0F3A3157.CR2,20170707,Jingshan Front Street Jiaolou,Beijing,Beijing,China,Canon EOS 5D mark III,Canon EF 24-70mm f/4L IS USM,,景山前街角楼
2019012700,20190223,0F3A3183.CR2,20170707,Jingshan Park,Beijing,Beijing,China,Canon EOS 5D mark III,Canon EF 24-70mm f/4L IS USM,,景山公园
2019012800,20190223,0F3A3167.CR2,20170707,Jingshan Park,Beijing,Beijing,China,Canon EOS 5D mark III,Canon EF 24-70mm f/4L IS USM,,
2019012900,20190224,0F3A5208.CR2,20170729,Beidaihe Qianshuiwan,Qinhuangdao,Hebei,China,Canon EOS 5D mark III,Canon EF 24-70mm f/4L IS USM,,
2019013000,20190224,0F3A5223.CR2,20170729,Beidaihe Qianshuiwan,Qinhuangdao,Hebei,China,Canon EOS 5D mark III,Canon EF 24-70mm f/4L IS USM,,
2019013100,20190224,0F3A5303.CR2,20170730,Beidaihe Dongshan Wharf,Qinhuangdao,Hebei,China,Canon EOS 5D mark III,Canon EF 24-70mm f/4L IS USM,,
2019020100,20190224,0F3A2258.CR2,20170626,Tianzifang,Shanghai,Shanghai,China,Canon EOS 5D mark III,Sigma 35mm f/1.4 DG HSM Art,,
2019020200,20190224,0F3A8127.CR2,20180417,University of Washington,Seattle,Washington,United States,Canon EOS 5D mark III,Canon EF 40mm f/2.8 STM,,
2019020300,20190224,0F3A3090.CR2,20170702,Shenzhen Bao‘an Airport,Shenzhen,Guangdong,China,Canon EOS 5D mark III,Sigma 35mm f/1.4 DG HSM Art,,
2019020400,20190205,0F3A6764.CR2,20190204,University of Washington,Seattle,Washington,United States,Canon EOS 5D mark III,Canon EF 24-70mm f/4L IS USM,,north W sign
2019020500,20190205,0F3A6584.CR2,20190204,University of Washington,Seattle,Washington,United States,Canon EOS 5D mark III,Canon EF 24-70mm f/4L IS USM,,
2019020600,20190206,0F3A6670.CR2,20190204,University of Washington,Seattle,Washington,United States,Canon EOS 5D mark III,Canon EF 24-70mm f/4L IS USM,,
2019020700,20190207,DJI_0017.jpg,20190204,University of Washington,Seattle,Washington,United States,DJI Phantom 4,DJI Phantom 4,,
2019020800,20190208,IMG_3224.jpg,20170206,University of Washington,Seattle,Washington,United States,Canon PowerShot SX60 HS,Canon PowerShot SX60 HS,,
2019020900,20190209,DJI_0033.jpg,20190209,University of Washington,Seattle,Washington,United States,DJI Phantom 4,DJI Phantom 4,,
2019021000,20190210,0F3A7339.CR2,20190210,University of Washington,Seattle,Washington,United States,Canon EOS 5D mark III,Canon EF 24-70mm f/4L IS USM,,
2019021100,20190211,0F3A7331.CR2,20190210,University of Washington,Seattle,Washington,United States,Canon EOS 5D mark III,Canon EF 24-70mm f/4L IS USM,,
2019021200,20190212,0F3A7354.CR2,20190210,University of Washington,Seattle,Washington,United States,Canon EOS 5D mark III,Canon EF 24-70mm f/4L IS USM,,
2019021300,20190219,0F3A7116.CR2,20190209,University of Washington,Seattle,Washington,United States,Canon EOS 5D mark III,Sigma 70-300mm f/4-5.6 DG Macro,,
2019021400,20190220,0F3A7065.CR2,20190209,University of Washington,Seattle,Washington,United States,Canon EOS 5D mark III,Sigma 70-300mm f/4-5.6 DG Macro,,
2019021500,20190220,0F3A7278.CR2,20190209,University of Washington,Seattle,Washington,United States,Canon EOS 5D mark III,Canon EF 24-70mm f/4L IS USM,,
2019021600,20190220,0F3A7035.CR2,20180319,Sea to Sky Gondola Summit,Squamish,British Columbia,Canada,Canon EOS 5D mark III,Samyang 14mm f/2.8,,
2019021700,20190221,0F3A6933.CR2,20180319,Sea To Sky Highway,West Vancouver,British Columbia,Canada,Canon EOS 5D mark III,Sigma 70-300mm f/4-5.6 DG Macro,,
2019021800,20190221,0F3A7072.CR2,20180319,Sea to Sky Gondola Summit,Squamish,British Columbia,Canada,Canon EOS 5D mark III,Canon EF 24-70mm f/4L IS USM,,
2019021900,20190221,0F3A7109.CR2,20180319,Stawamus Chief Provincial Park,Squamish,British Columbia,Canada,Canon EOS 5D mark III,Samyang 14mm f/2.8,,
2019022000,20190221,0F3A7204.CR2,20180319,Stawamus Chief Provincial Park,Squamish,British Columbia,Canada,Canon EOS 5D mark III,Samyang 14mm f/2.8,,
2019022100,20190222,0F3A7292.CR2,20180320,Rolley Lake Provincial Park,Mission,British Columbia,Canada,Canon EOS 5D mark III,Canon EF 24-70mm f/4L IS USM,,
2019022200,20190222,0F3A7336.CR2,20180320,Rolley Lake Provincial Park,Mission,British Columbia,Canada,Canon EOS 5D mark III,Canon EF 24-70mm f/4L IS USM,,
2019022300,20190225,0F3A7454.CR2,20180321,Port Renfrew,Juan de Fuca,British Columbia,Canada,Canon EOS 5D mark III,Canon EF 24-70mm f/4L IS USM,,
2019022400,20190225,0F3A7459.CR2,20180321,Port Renfrew,Juan de Fuca,British Columbia,Canada,Canon EOS 5D mark III,Canon EF 24-70mm f/4L IS USM,,
2019022500,20190227,0F3A8010.CR2,20171021,Elements Apartments,Bellevue,Washington,United States,Canon EOS 5D mark III,Canon EF 50mm f/1.8 STM,,
2019022600,20190227,0F3A8055.CR2,20171021,Elements Apartments,Bellevue,Washington,United States,Canon EOS 5D mark III,Canon EF 70-200mm f/4L USM,,
2019022700,20190227,0F3A8135.CR2,20171021,Elements Apartments,Bellevue,Washington,United States,Canon EOS 5D mark III,Canon EF 70-200mm f/4L USM,,
2019022800,20190228,0F3A8157.CR2,20171021,Elements Apartments,Bellevue,Washington,United States,Canon EOS 5D mark III,Canon EF 70-200mm f/4L USM,,
2019030100,20190301,0F3A8175.CR2,20171021,Elements Apartments,Bellevue,Washington,United States,Canon EOS 5D mark III,Canon EF 70-200mm f/4L USM,,
2019030200,20190302,IMG_8757.CR2,20171021,Elements Apartments,Bellevue,Washington,United States,Canon EOS Rebel T6i (750D),Canon EF 24-70mm f/4L IS USM,,
2019030300,20190303,0F3A5343.CR2,20170803,Chongli Flower Paper Mill,Zhangjiakou,Hebei,China,Canon EOS 5D mark III,Canon EF 24-70mm f/4L IS USM,,
2019030400,20190304,0F3A5345.CR2,20170803,Zhangbei Grassland Tianlu,Zhangjiakou,Hebei,China,Canon EOS 5D mark III,Canon EF 24-70mm f/4L IS USM,,
2019030500,20190305,0F3A5379.CR2,20170803,Zhangbei Grassland Tianlu,Zhangjiakou,Hebei,China,Canon EOS 5D mark III,Canon EF 24-70mm f/4L IS USM,,
2019030600,20190306,0F3A5506.CR2,20170804,Taibus Banner G207,Xilin Gol,Inner Mongolia,China,Canon EOS 5D mark III,Canon EF 24-70mm f/4L IS USM,,
2019030700,20190307,0F3A5523.CR2,20170804,Taibus Banner G207,Xilin Gol,Inner Mongolia,China,Canon EOS 5D mark III,Canon EF 24-70mm f/4L IS USM,,
2019030800,20190308,0F3A5568.CR2,20170804,Taibus Banner G207,Xilin Gol,Inner Mongolia,China,Canon EOS 5D mark III,Sigma 70-300mm f/4-5.6 DG Macro,,
2019030900,20190309,0F3A5584.CR2,20170804,Taibus Banner G207,Xilin Gol,Inner Mongolia,China,Canon EOS 5D mark III,Sigma 70-300mm f/4-5.6 DG Macro,,
2019031000,20190310,0F3A5757.CR2,20170805,Guyuan Luanhe Shenyun Scenic Area,Zhangjiakou,Hebei,China,Canon EOS 5D mark III,Canon EF 24-70mm f/4L IS USM,,
2019031100,20190311,0F3A5863.CR2,20170806,Fengning S244,Chengde,Hebei,China,Canon EOS 5D mark III,Canon EF 24-70mm f/4L IS USM,,
2019031200,20190312,0F3A7965.CR2,20180407,the Quad - University of Washington,Seattle,Washington,United States,Canon EOS 5D mark III,Canon EF 50mm f/1.8 STM,,
2019031300,20190313,0F3A7829.CR2,20180403,the Quad - University of Washington,Seattle,Washington,United States,Canon EOS 5D mark III,Canon EF 50mm f/1.8 STM,,
2019031400,20190314,0F3A7973.CR2,20180407,the Quad - University of Washington,Seattle,Washington,United States,Canon EOS 5D mark III,Canon EF 50mm f/1.8 STM,,
2019031500,20190315,0F3A7907.CR2,20180406,the Quad - University of Washington,Seattle,Washington,United States,Canon EOS 5D mark III,Canon EF 50mm f/1.8 STM,,
2019031600,20190316,IMG_9999.jpg,20180315,the Quad - University of Washington,Seattle,Washington,United States,Apple iPhone 6s,Apple iPhone 6s,,
2019031700,20190317,IMG_5419.jpg,20170329,the Quad - University of Washington,Seattle,Washington,United States,Canon PowerShot SX60 HS,Canon PowerShot SX60 HS,,
2019031800,20190318,0F3A7877.CR2,20180406,the Quad - University of Washington,Seattle,Washington,United States,Canon EOS 5D mark III,Canon EF 24-70mm f/4L IS USM,,
2019031900,20190319,IMG_9578.jpg,20170411,Red Square - University of Washington,Seattle,Washington,United States,Canon PowerShot SX60 HS,Canon PowerShot SX60 HS,,
2019032000,20190321,0F3A7599.CR2,20180328,the Quad - University of Washington,Seattle,Washington,United States,Canon EOS 5D mark III,Canon EF 24-70mm f/4L IS USM,,
2019032100,20190321,0F3A7616.CR2,20180328,the Quad - University of Washington,Seattle,Washington,United States,Canon EOS 5D mark III,Canon EF 24-70mm f/4L IS USM,,